  0.536792402679669       0.545070069142104     
  5.141973393868864E-002  6.044729232143738E-002
  0.438588810584933       0.442798882942167     
 minmax densities : 
  5.949857272877911E-019   2901.01491461461     
  0.000000000000000E+000   916.086840965870     
  9.246153322557320E-012   39.9109615633340     
         201 -9.255963134931783E+061  5.187988281250000E-002
         701 -9.255963134931783E+061  5.133056640625000E-002
         101 -9.255963134931783E+061  5.184936523437500E-002
         801 -9.255963134931783E+061  5.139160156250000E-002
         601 -9.255963134931783E+061  5.160522460937500E-002
         301 -9.255963134931783E+061  5.206298828125000E-002
         501 -9.255963134931783E+061  5.114746093750000E-002
         401 -9.255963134931783E+061  5.114746093750000E-002
         901 -9.255963134931783E+061  5.145263671875000E-002
        1001 -9.255963134931783E+061  5.181884765625000E-002
        1101 -9.255963134931783E+061  5.184936523437500E-002
        1201 -9.255963134931783E+061  5.102539062500000E-002
        1401 -9.255963134931783E+061  5.426025390625000E-002
        1301 -9.255963134931783E+061  5.322265625000000E-002
        1501 -9.255963134931783E+061  5.422973632812500E-002
           1 -9.255963134931783E+061  5.184936523437500E-002
           2  1.527051066425098E+052  5.181884765625000E-002
         102  1.527051066425098E+052  5.181884765625000E-002
         202  1.527051066425098E+052  5.181884765625000E-002
         702  1.527051066425098E+052  5.133056640625000E-002
         502  1.527051066425098E+052  5.108642578125000E-002
         402  1.527051066425098E+052  5.114746093750000E-002
         802  1.527051066425098E+052  5.163574218750000E-002
         302  1.527051066425098E+052  5.218505859375000E-002
        1202  1.527051066425098E+052  5.090332031250000E-002
        1502  1.527051066425098E+052  5.429077148437500E-002
        1302  1.527051066425098E+052  5.297851562500000E-002
         902  1.527051066425098E+052  5.145263671875000E-002
        1102  1.527051066425098E+052  5.181884765625000E-002
         602  1.527051066425098E+052  5.160522460937500E-002
           3  1.527051066425098E+052  5.178833007812500E-002
        1402  1.527051066425098E+052  5.422973632812500E-002
        1002  1.527051066425098E+052  5.178833007812500E-002
         103  1.527051066425098E+052  5.178833007812500E-002
         203  1.527051066425098E+052  5.178833007812500E-002
         703  1.527051066425098E+052  5.145263671875000E-002
           4  1.527051066425098E+052  5.177307128906250E-002
         503  1.527051066425098E+052  5.108642578125000E-002
         303  1.527051066425098E+052  5.218505859375000E-002
         803  1.527051066425098E+052  5.163574218750000E-002
         403  1.527051066425098E+052  5.090332031250000E-002
        1203  1.527051066425098E+052  5.090332031250000E-002
        1503  1.527051066425098E+052  5.429077148437500E-002
        1303  1.527051066425098E+052  5.297851562500000E-002
        1103  1.527051066425098E+052  5.194091796875000E-002
         903  1.527051066425098E+052  5.145263671875000E-002
        1403  1.527051066425098E+052  5.422973632812500E-002
         104  1.527051066425098E+052  5.177307128906250E-002
         603  1.527051066425098E+052  5.154418945312500E-002
           5  1.527051066425098E+052  5.177307128906250E-002
         204  1.527051066425098E+052  5.178833007812500E-002
         704  1.527051066425098E+052  5.142211914062500E-002
        1003  1.527051066425098E+052  5.178833007812500E-002
         504  1.527051066425098E+052  5.120849609375000E-002
         304  1.527051066425098E+052  5.206298828125000E-002
           6  1.527051066425098E+052  5.178833007812500E-002
         404  1.527051066425098E+052  5.090332031250000E-002
         804  1.527051066425098E+052  5.102539062500000E-002
        1204  1.527051066425098E+052  5.114746093750000E-002
         105  1.527051066425098E+052  5.177307128906250E-002
        1504  1.527051066425098E+052  5.422973632812500E-002
        1304  1.527051066425098E+052  5.346679687500000E-002
         205  1.527051066425098E+052  5.184936523437500E-002
        1104  1.527051066425098E+052  5.191040039062500E-002
         705  1.527051066425098E+052  5.142211914062500E-002
         904  1.527051066425098E+052  5.163574218750000E-002
        1404  1.527051066425098E+052  5.429077148437500E-002
